Пол,ЕГЭ Математика,ЕГЭ Русский Язык,ЕГЭ Обществознание,Аналитическая геометрия,Введение в алгебру и математический анализ,История,Геометрия (1),Иностранный язык,Математический анализ (1),Алгебра (1),Философия,Дополнительные главы линейной алгебры,Математический анализ (2),Теория вероятностей и МС,Дополнительные главы математического анализа,Алгебра (2),Геометрия (2),Решение психологических проблем в педагогической деятельности,Физика,Решение педагогических задач,Алгебра (3),Теория функций и функциональный анализ,МОВ,Дифференциальные уравнения,Решение профессиональных задач учителя,Основы математической логики,Образовательные технологии (мат. обр.),Организация дополнительного образования
ж,70,100,95,5,4,5,5,5,3,4,5,4,5,5,5,3,5,5,5,5,5,4,5,4,4,5,5,5
ж,76,96,97,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ж,70,71,56,4,3,4,3,4,3,3,4,4,4,4,5,4,5,5,5,4,4,4,5,5,4,4,5,5
м,62,73,59,3,4,4,3,4,3,3,3,3,4,3,4,4,4,5,4,5,3,3,4,4,3,4,5,5
ж,0,0,0,4,4,3,4,4,3,3,3,3,3,4,4,3,3,5,4,4,4,3,4,4,4,4,5,5
м,78,91,81,4,4,5,5,5,3,3,5,3,4,4,3,3,4,5,5,4,3,4,5,3,4,4,5,5
ж,72,91,69,5,5,5,3,5,4,4,5,5,4,4,4,5,5,5,5,4,5,4,5,5,4,4,5,5
ж,88,87,77,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ж,80,100,90,5,5,5,4,5,5,3,5,3,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5
ж,68,91,79,4,4,5,4,5,3,4,5,4,4,5,4,4,3,5,5,4,4,4,4,4,4,4,5,5
ж,56,89,74,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ж,80,91,92,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5
ж,72,70,65,4,3,4,4,4,4,3,4,3,4,4,3,4,3,5,5,4,3,3,4,4,4,4,4,5
ж,82,96,76,5,5,5,4,5,4,4,5,3,5,5,5,4,4,5,5,5,4,5,5,4,5,5,5,5
ж,0,0,0,4,3,5,4,5,3,3,5,4,4,5,5,4,4,5,5,5,5,3,5,4,5,4,5,5
ж,78,98,76,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5
ж,72,89,83,4,4,4,3,5,4,4,4,3,4,4,4,3,4,5,5,4,4,3,4,3,3,4,4,5
ж,82,98,90,4,4,4,4,5,3,3,5,4,4,5,4,5,5,5,5,4,3,3,4,5,5,4,5,5
ж,68,89,85,4,3,4,4,5,4,4,3,4,5,3,5,5,3,3,4,4,4,3,3,3,4,4,5,5
ж,62,76,79,3,3,3,3,4,3,3,4,4,3,5,3,3,5,5,5,4,5,3,5,5,3,5,5,5
ж,82,87,62,4,3,5,4,4,3,3,4,3,3,4,4,3,3,5,4,4,4,4,4,3,4,4,5,5
ж,78,96,90,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
м,72,91,85,4,3,4,4,4,3,3,3,3,3,3,3,4,5,5,3,4,4,3,3,3,3,4,4,4
ж,0,0,0,5,4,4,4,5,3,3,4,4,4,4,4,3,3,5,5,5,4,5,5,4,4,4,5,5
ж,0,0,0,5,5,5,5,5,5,3,5,5,5,4,5,5,4,5,5,5,5,3,5,4,4,4,5,5
ж,74,91,79,4,3,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5
ж,0,0,0,5,4,5,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
ж,72,96,72,4,4,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5
ж,0,0,0,5,4,3,4,5,4,4,4,5,4,5,5,5,5,5,5,4,5,3,5,3,5,5,4,5
ж,68,69,71,3,3,3,4,4,3,3,4,3,4,4,4,3,5,4,4,4,3,3,5,4,5,4,5,5
ж,74,91,100,5,4,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5
